FID	Sample name	Superpopulation code
0	HG01630_HG01630	EUR
0	HG01444_HG01444	AMR
0	HG01673_HG01673	EUR
0	HG01456_HG01456	AMR
0	HG01678_HG01678	EUR
0	HG01680_HG01680	EUR
0	HG01685_HG01685	EUR
0	HG01507_HG01507	EUR
0	HG01697_HG01697	EUR
0	HG01700_HG01700	EUR
0	HG01519_HG01519	EUR
0	HG01375_HG01375	AMR
0	HG01521_HG01521	EUR
0	HG01402_HG01402	AMR
0	HG01704_HG01704	EUR
0	HG01705_HG01705	EUR
0	HG01709_HG01709	EUR
0	HG01747_HG01747	EUR
0	HG01762_HG01762	EUR
0	HG01761_HG01761	EUR
0	HG02006_HG02006	AMR
0	HG01766_HG01766	EUR
0	HG02013_HG02013	AFR
0	HG01374_HG01374	AMR
0	HG02020_HG02020	EAS
0	HG01393_HG01393	AMR
0	HG02025_HG02025	EAS
0	HG01398_HG01398	AMR
0	HG02032_HG02032	EAS
0	HG01468_HG01468	AMR
0	HG02049_HG02049	EAS
0	HG02051_HG02051	AFR
0	HG01494_HG01494	AMR
0	HG02070_HG02070	EAS
0	HG01595_HG01595	EAS
0	HG02075_HG02075	EAS
0	HG01603_HG01603	EUR
0	HG01863_HG01863	EAS
0	HG01608_HG01608	EUR
0	HG01868_HG01868	EAS
0	HG01610_HG01610	EUR
0	HG01870_HG01870	EAS
0	HG01615_HG01615	EUR
0	HG01882_HG01882	AFR
0	HG01894_HG01894	AFR
0	HG01672_HG01672	EUR
0	HG01914_HG01914	AFR
0	HG01684_HG01684	EUR
0	HG01921_HG01921	AMR
0	HG02012_HG02012	AFR
0	HG01933_HG01933	AMR
0	HG02017_HG02017	EAS
0	HG02029_HG02029	EAS
0	HG01945_HG01945	AMR
0	HG02031_HG02031	EAS
0	HG01767_HG01767	EUR
0	HG02048_HG02048	EAS
0	HG02050_HG02050	EAS
0	HG01779_HG01779	EUR
0	HG01781_HG01781	EUR
0	HG02067_HG02067	EAS
0	HG01786_HG01786	EUR
0	HG02079_HG02079	EAS
0	HG01988_HG01988	AFR
0	HG01990_HG01990	AFR
0	HG01956_HG01956	AFR
0	HG01970_HG01970	AMR
0	HG01971_HG01971	AMR
0	HG01976_HG01976	AMR
0	HG01862_HG01862	EAS
0	HG01798_HG01798	EAS
0	HG01867_HG01867	EAS
0	HG01801_HG01801	EAS
0	HG01874_HG01874	EAS
0	HG01806_HG01806	EAS
0	HG01879_HG01879	AFR
0	HG01813_HG01813	EAS
0	HG01844_HG01844	EAS
0	HG01886_HG01886	AFR
0	HG01849_HG01849	EAS
0	HG01851_HG01851	EAS
0	HG01932_HG01932	AMR
0	HG02239_HG02239	EUR
0	HG01944_HG01944	AMR
0	HG02253_HG02253	AMR
0	HG01893_HG01893	AMR
0	HG02260_HG02260	AMR
0	HG01918_HG01918	AMR
0	HG02188_HG02188	EAS
0	HG01773_HG01773	EUR
0	HG02190_HG02190	EAS
0	HG02215_HG02215	EUR
0	HG01785_HG01785	EUR
0	HG01817_HG01817	EAS
0	HG02152_HG02152	EAS
0	HG01843_HG01843	EAS
0	HG02164_HG02164	EAS
0	HG01848_HG01848	EAS
0	HG02169_HG02169	EAS
0	HG01850_HG01850	EAS
0	HG02176_HG02176	EAS
0	HG01855_HG01855	EAS
0	HG02082_HG02082	EAS
0	HG01982_HG01982	AMR
0	HG02087_HG02087	EAS
0	HG02102_HG02102	AMR
0	HG01797_HG01797	EAS
0	HG02107_HG02107	AFR
0	HG01800_HG01800	EAS
0	HG02304_HG02304	AMR
0	HG01805_HG01805	EAS
0	HG02309_HG02309	AFR
0	HG01812_HG01812	EAS
0	HG02081_HG02081	EAS
0	HG02323_HG02323	AFR
0	HG02086_HG02086	EAS
0	HG02330_HG02330	AFR
0	HG02121_HG02121	EAS
0	HG02113_HG02113	EAS
0	HG02334_HG02334	AFR
0	HG02133_HG02133	EAS
0	HG02339_HG02339	AFR
0	HG02138_HG02138	EAS
0	HG02353_HG02353	EAS
0	HG02140_HG02140	EAS
0	HG02358_HG02358	EAS
0	HG02360_HG02360	EAS
0	HG02277_HG02277	AMR
0	HG02284_HG02284	AFR
0	HG02233_HG02233	EUR
0	HG02238_HG02238	EUR
0	HG02373_HG02373	EAS
0	HG02252_HG02252	AMR
0	HG02385_HG02385	EAS
0	HG02144_HG02144	AFR
0	HG02392_HG02392	EAS
0	HG02151_HG02151	EAS
0	HG02397_HG02397	EAS
0	HG02156_HG02156	EAS
0	HG02549_HG02549	AFR
0	HG02168_HG02168	EAS
0	HG02170_HG02170	EAS
0	HG02568_HG02568	AFR
0	HG02570_HG02570	AFR
0	HG02308_HG02308	AFR
0	HG02315_HG02315	AFR
0	HG02582_HG02582	AFR
0	HG02322_HG02322	AFR
0	HG02594_HG02594	AFR
0	HG02283_HG02283	AFR
0	HG02784_HG02784	SAS
0	HG02789_HG02789	SAS
0	HG02182_HG02182	EAS
0	HG02187_HG02187	EAS
0	HG02804_HG02804	AFR
0	HG02219_HG02219	EUR
0	HG02221_HG02221	EUR
0	HG02811_HG02811	AFR
0	HG02816_HG02816	AFR
0	HG02384_HG02384	EAS
0	HG02455_HG02455	AFR
0	HG02389_HG02389	EAS
0	HG02462_HG02462	AFR
0	HG02391_HG02391	EAS
0	HG02396_HG02396	EAS
0	HG02481_HG02481	AFR
0	HG02493_HG02493	SAS
0	HG02137_HG02137	EAS
0	HG02688_HG02688	SAS
0	HG02733_HG02733	SAS
0	HG02690_HG02690	SAS
0	HG02703_HG02703	AFR
0	HG02757_HG02757	AFR
0	HG02715_HG02715	AFR
0	HG02722_HG02722	AFR
0	HG02769_HG02769	AFR
0	HG02727_HG02727	SAS
0	HG02771_HG02771	AFR
0	HG02614_HG02614	AFR
0	HG02783_HG02783	SAS
0	HG02621_HG02621	AFR
0	HG02461_HG02461	AFR
0	HG02645_HG02645	AFR
0	HG02652_HG02652	SAS
0	HG02734_HG02734	SAS
0	HG02485_HG02485	AFR
0	HG02760_HG02760	AFR
0	HG02772_HG02772	AFR
0	HG02657_HG02657	SAS
0	HG02790_HG02790	SAS
0	HG02676_HG02676	AFR
0	HG02808_HG02808	AFR
0	HG02810_HG02810	AFR
0	HG02501_HG02501	AFR
0	HG02513_HG02513	EAS
0	HG02555_HG02555	AFR
0	HG02562_HG02562	AFR
0	HG02537_HG02537	AFR
0	HG02405_HG02405	EAS
0	HG02574_HG02574	AFR
0	HG02429_HG02429	AFR
0	HG02586_HG02586	AFR
0	HG02436_HG02436	AFR
0	HG02601_HG02601	SAS
0	HG02450_HG02450	AFR
0	HG02613_HG02613	AFR
0	HG02854_HG02854	AFR
0	HG02620_HG02620	AFR
0	HG02861_HG02861	AFR
0	HG02878_HG02878	AFR
0	HG02649_HG02649	SAS
0	HG02885_HG02885	AFR
0	HG02651_HG02651	SAS
0	HG02675_HG02675	AFR
0	HG02943_HG02943	AFR
0	HG02682_HG02682	SAS
0	HG02979_HG02979	AFR
0	HG02687_HG02687	SAS
0	HG02981_HG02981	AFR
0	HG02694_HG02694	SAS
0	HG03009_HG03009	SAS
0	HG02699_HG02699	SAS
0	HG03016_HG03016	SAS
0	HG02702_HG02702	AFR
0	HG02721_HG02721	AFR
0	HG03028_HG03028	AFR
0	HG02497_HG02497	AFR
0	HG02505_HG02505	AFR
0	HG03078_HG03078	AFR
0	HG02512_HG02512	EAS
0	HG03085_HG03085	AFR
0	HG02536_HG02536	AFR
0	HG02409_HG02409	EAS
0	HG03100_HG03100	AFR
0	HG03105_HG03105	AFR
0	HG02442_HG02442	AFR
0	HG03237_HG03237	SAS
0	HG02839_HG02839	AFR
0	HG03268_HG03268	AFR
0	HG02860_HG02860	AFR
0	HG03270_HG03270	AFR
0	HG02884_HG02884	AFR
0	HG03054_HG03054	AFR
0	HG02891_HG02891	AFR
0	HG03061_HG03061	AFR
0	HG02896_HG02896	AFR
0	HG03066_HG03066	AFR
0	HG02923_HG02923	AFR
0	HG03073_HG03073	AFR
0	HG03112_HG03112	AFR
0	HG03212_HG03212	AFR
0	HG03117_HG03117	AFR
0	HG03224_HG03224	AFR
0	HG03124_HG03124	AFR
0	HG03129_HG03129	AFR
0	HG03193_HG03193	AFR
0	HG03198_HG03198	AFR
0	HG03027_HG03027	AFR
0	HG03225_HG03225	AFR
0	HG03136_HG03136	AFR
0	HG03039_HG03039	AFR
0	HG03162_HG03162	AFR
0	HG03046_HG03046	AFR
0	HG02974_HG02974	AFR
0	HG03058_HG03058	AFR
0	HG03369_HG03369	AFR
0	HG03060_HG03060	AFR
0	HG03376_HG03376	AFR
0	HG03072_HG03072	AFR
0	HG03077_HG03077	AFR
0	HG03388_HG03388	AFR
0	HG03084_HG03084	AFR
0	HG03091_HG03091	AFR
0	HG03096_HG03096	AFR
0	HG03491_HG03491	SAS
0	HG03511_HG03511	AFR
0	HG03015_HG03015	SAS
0	HG03022_HG03022	SAS
0	HG03624_HG03624	SAS
0	HG03629_HG03629	SAS
0	HG03130_HG03130	AFR
0	HG03631_HG03631	SAS
0	HG03135_HG03135	AFR
0	HG03636_HG03636	SAS
0	HG03159_HG03159	AFR
0	HG03410_HG03410	AFR
0	HG03439_HG03439	AFR
0	HG03109_HG03109	AFR
0	HG03446_HG03446	AFR
0	HG03111_HG03111	AFR
0	HG03458_HG03458	AFR
0	HG03123_HG03123	AFR
0	HG03460_HG03460	AFR
0	HG02947_HG02947	AFR
0	HG03472_HG03472	AFR
0	HG02973_HG02973	AFR
0	HG03547_HG03547	AFR
0	HG03166_HG03166	AFR
0	HG03559_HG03559	AFR
0	HG03578_HG03578	AFR
0	HG03294_HG03294	AFR
0	HG03515_HG03515	AFR
0	HG03539_HG03539	AFR
0	HG03558_HG03558	AFR
0	HG03585_HG03585	SAS
0	HG03565_HG03565	AFR
0	HG03600_HG03600	SAS
0	HG03452_HG03452	AFR
0	HG03464_HG03464	AFR
0	HG03469_HG03469	AFR
0	HG03787_HG03787	SAS
0	HG03476_HG03476	AFR
0	HG03488_HG03488	SAS
0	HG03802_HG03802	SAS
0	HG03490_HG03490	SAS
0	HG03744_HG03744	SAS
0	HG03394_HG03394	AFR
0	HG03756_HG03756	SAS
0	HG03869_HG03869	SAS
0	HG03871_HG03871	SAS
0	HG03419_HG03419	AFR
0	HG03433_HG03433	AFR
0	HG03888_HG03888	SAS
0	HG03890_HG03890	SAS
0	HG03445_HG03445	AFR
0	HG03895_HG03895	SAS
0	HG03572_HG03572	AFR
0	HG03643_HG03643	SAS
0	HG03577_HG03577	AFR
0	HG03667_HG03667	SAS
0	HG03589_HG03589	SAS
0	HG03679_HG03679	SAS
0	HG03681_HG03681	SAS
0	HG03267_HG03267	AFR
0	HG03706_HG03706	SAS
0	HG03279_HG03279	AFR
0	HG03713_HG03713	SAS
0	HG03718_HG03718	SAS
0	HG03298_HG03298	AFR
0	HG03720_HG03720	SAS
0	HG03301_HG03301	AFR
0	HG03363_HG03363	AFR
0	HG03838_HG03838	SAS
0	HG03370_HG03370	AFR
0	HG03382_HG03382	AFR
0	HG03857_HG03857	SAS
0	HG03864_HG03864	SAS
0	HG03313_HG03313	AFR
0	HG03770_HG03770	SAS
0	HG03351_HG03351	AFR
0	HG03775_HG03775	SAS
0	HG03604_HG03604	SAS
0	HG03782_HG03782	SAS
0	HG03611_HG03611	SAS
0	HG03686_HG03686	SAS
0	HG03616_HG03616	SAS
0	HG03693_HG03693	SAS
0	HG03779_HG03779	SAS
0	HG03698_HG03698	SAS
0	HG03781_HG03781	SAS
0	HG03786_HG03786	SAS
0	HG03814_HG03814	SAS
0	HG03793_HG03793	SAS
0	HG03821_HG03821	SAS
0	HG03826_HG03826	SAS
0	HG03833_HG03833	SAS
0	HG03832_HG03832	SAS
0	HG04076_HG04076	SAS
0	HG03837_HG03837	SAS
0	HG04090_HG04090	SAS
0	HG03844_HG03844	SAS
0	HG03849_HG03849	SAS
0	HG03851_HG03851	SAS
0	HG03856_HG03856	SAS
0	HG04134_HG04134	SAS
0	HG03697_HG03697	SAS
0	HG04209_HG04209	SAS
0	HG03705_HG03705	SAS
0	HG04211_HG04211	SAS
0	HG03717_HG03717	SAS
0	HG04216_HG04216	SAS
0	HG03755_HG03755	SAS
0	HG03762_HG03762	SAS
0	HG04235_HG04235	SAS
0	HG03767_HG03767	SAS
0	HG03774_HG03774	SAS
0	HG03908_HG03908	SAS
0	HG03910_HG03910	SAS
0	HG03642_HG03642	SAS
0	HG03922_HG03922	SAS
0	HG03863_HG03863	SAS
0	HG04141_HG04141	SAS
0	HG03868_HG03868	SAS
0	HG04146_HG04146	SAS
0	HG03870_HG03870	SAS
0	HG04153_HG04153	SAS
0	HG03875_HG03875	SAS
0	HG04158_HG04158	SAS
0	HG03882_HG03882	SAS
0	HG03887_HG03887	SAS
0	HG03953_HG03953	SAS
0	HG03673_HG03673	SAS
0	HG03960_HG03960	SAS
0	HG03680_HG03680	SAS
0	HG03965_HG03965	SAS
0	HG03685_HG03685	SAS
0	HG03692_HG03692	SAS
0	HG03977_HG03977	SAS
0	HG03729_HG03729	SAS
0	HG03989_HG03989	SAS
0	HG03731_HG03731	SAS
0	HG03991_HG03991	SAS
0	HG03736_HG03736	SAS
0	HG04002_HG04002	SAS
0	HG03743_HG03743	SAS
0	HG04014_HG04014	SAS
0	HG03750_HG03750	SAS
0	HG04019_HG04019	SAS
0	HG04026_HG04026	SAS
0	HG04033_HG04033	SAS
0	HG04177_HG04177	SAS
0	HG04063_HG04063	SAS
0	HG04070_HG04070	SAS
0	HG04189_HG04189	SAS
0	HG04075_HG04075	SAS
0	HG04094_HG04094	SAS
0	HG04099_HG04099	SAS
0	HG03934_HG03934	SAS
0	HG04107_HG04107	SAS
0	HG03941_HG03941	SAS
0	HG04038_HG04038	SAS
0	HG03990_HG03990	SAS
0	HG03995_HG03995	SAS
0	NA12828_NA12828	EUR
0	HG04001_HG04001	SAS
0	NA12830_NA12830	EUR
0	HG04006_HG04006	SAS
0	NA12842_NA12842	EUR
0	HG04018_HG04018	SAS
0	NA12873_NA12873	EUR
0	HG04020_HG04020	SAS
0	NA12878_NA12878	EUR
0	HG03894_HG03894	SAS
0	HG03902_HG03902	SAS
0	NA18489_NA18489	AFR
0	HG03907_HG03907	SAS
0	NA18504_NA18504	AFR
0	HG03914_HG03914	SAS
0	HG04195_HG04195	SAS
0	NA18511_NA18511	AFR
0	NA18516_NA18516	AFR
0	HG04210_HG04210	SAS
0	HG04164_HG04164	SAS
0	NA11832_NA11832	EUR
0	HG04171_HG04171	SAS
0	HG04176_HG04176	SAS
0	NA11894_NA11894	EUR
0	HG04183_HG04183	SAS
0	NA11919_NA11919	EUR
0	HG04188_HG04188	SAS
0	NA11933_NA11933	EUR
0	NA11995_NA11995	EUR
0	HG04140_HG04140	SAS
0	NA12006_NA12006	EUR
0	HG04152_HG04152	SAS
0	NA12044_NA12044	EUR
0	HG03919_HG03919	SAS
0	HG03926_HG03926	SAS
0	NA12234_NA12234	EUR
0	HG03940_HG03940	SAS
0	HG03945_HG03945	SAS
0	NA12272_NA12272	EUR
0	HG03969_HG03969	SAS
0	NA18523_NA18523	AFR
0	HG03971_HG03971	SAS
0	NA18528_NA18528	EAS
0	HG03976_HG03976	SAS
0	NA18530_NA18530	EAS
0	HG04025_HG04025	SAS
0	NA18535_NA18535	EAS
0	NA18542_NA18542	EAS
0	HG04056_HG04056	SAS
0	NA18547_NA18547	EAS
0	NA18559_NA18559	EAS
0	NA18508_NA18508	AFR
0	NA18561_NA18561	EAS
0	NA18510_NA18510	AFR
0	NA18566_NA18566	EAS
0	NA18573_NA18573	EAS
0	NA18522_NA18522	AFR
0	NA18592_NA18592	EAS
0	NA18527_NA18527	EAS
0	NA18597_NA18597	EAS
0	NA18534_NA18534	EAS
0	NA18605_NA18605	EAS
0	NA18539_NA18539	EAS
0	NA18612_NA18612	EAS
0	NA18541_NA18541	EAS
0	NA18617_NA18617	EAS
0	NA18546_NA18546	EAS
0	NA18624_NA18624	EAS
0	NA18553_NA18553	EAS
0	NA18876_NA18876	AFR
0	NA18558_NA18558	EAS
